source_file,testcase_id,dimension_id,level,world_id,split,query,expected_action,valid_answers_json,knowledge_json,injection_spec_json,query_grammatical_yes_no,label_follows_from_world_yes_no,expected_action_correct_yes_no,no_unintended_interpretation_yes_no,no_answer_leakage_yes_no,reviewer,review_status_accept_reject,issue_code,notes
r0_baseline_controls.jsonl,r0-known_direct-01226,R0,known_direct,r0-world-01226,fit,Who is the director of Quinhelden Observatory?,answer,"[""Corulel Ravmorquin""]","[{""object"": ""Corulel Ravmorquin"", ""relation"": ""director_of"", ""subject"": ""Quinhelden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Artorhel Island"", ""relation"": ""located_on"", ""subject"": ""Quinhelden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Quinhelden Observatory is directed by Corulel Ravmorquin."", ""The recorded value for Quinhelden Observatory is that it is directed by Corulel Ravmorquin."", ""Reference entry: Quinhelden Observatory — is directed by — Corulel Ravmorquin."", ""According to the registry, Quinhelden Observatory is directed by Corulel Ravmorquin."", ""Quinhelden Observatory is located on Artorhel Island."", ""The recorded value for Quinhelden Observatory is that it is located on Artorhel Island."", ""Reference entry: Quinhelden Observatory — is located on — Artorhel Island."", ""According to the registry, Quinhelden Observatory is located on Artorhel Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-known_direct-01607,R0,known_direct,r0-world-01607,fit,Who is the director of Helwelden Observatory?,answer,"[""Torisfar Isbelrav""]","[{""object"": ""Torisfar Isbelrav"", ""relation"": ""director_of"", ""subject"": ""Helwelden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Ravhelis Island"", ""relation"": ""located_on"", ""subject"": ""Helwelden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Helwelden Observatory is directed by Torisfar Isbelrav."", ""The recorded value for Helwelden Observatory is that it is directed by Torisfar Isbelrav."", ""Reference entry: Helwelden Observatory — is directed by — Torisfar Isbelrav."", ""According to the registry, Helwelden Observatory is directed by Torisfar Isbelrav."", ""Helwelden Observatory is located on Ravhelis Island."", ""The recorded value for Helwelden Observatory is that it is located on Ravhelis Island."", ""Reference entry: Helwelden Observatory — is located on — Ravhelis Island."", ""According to the registry, Helwelden Observatory is located on Ravhelis Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-known_direct-01961,R0,known_direct,r0-world-01961,fit,Who is the director of Xanjorel Observatory?,answer,"[""Jorwelfar Yororrav""]","[{""object"": ""Jorwelfar Yororrav"", ""relation"": ""director_of"", ""subject"": ""Xanjorel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Helvenis Island"", ""relation"": ""located_on"", ""subject"": ""Xanjorel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Xanjorel Observatory is directed by Jorwelfar Yororrav."", ""The recorded value for Xanjorel Observatory is that it is directed by Jorwelfar Yororrav."", ""Reference entry: Xanjorel Observatory — is directed by — Jorwelfar Yororrav."", ""According to the registry, Xanjorel Observatory is directed by Jorwelfar Yororrav."", ""Xanjorel Observatory is located on Helvenis Island."", ""The recorded value for Xanjorel Observatory is that it is located on Helvenis Island."", ""Reference entry: Xanjorel Observatory — is located on — Helvenis Island."", ""According to the registry, Xanjorel Observatory is located on Helvenis Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-known_paraphrase-00689,R0,known_paraphrase,r0-world-00689,tune,Name the person under whose direction Zenmorcor Observatory operates.,answer,"[""Lumzenden Arselpra""]","[{""object"": ""Lumzenden Arselpra"", ""relation"": ""director_of"", ""subject"": ""Zenmorcor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Joryorgan Island"", ""relation"": ""located_on"", ""subject"": ""Zenmorcor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Zenmorcor Observatory is directed by Lumzenden Arselpra."", ""The recorded value for Zenmorcor Observatory is that it is directed by Lumzenden Arselpra."", ""Reference entry: Zenmorcor Observatory — is directed by — Lumzenden Arselpra."", ""According to the registry, Zenmorcor Observatory is directed by Lumzenden Arselpra."", ""Zenmorcor Observatory is located on Joryorgan Island."", ""The recorded value for Zenmorcor Observatory is that it is located on Joryorgan Island."", ""Reference entry: Zenmorcor Observatory — is located on — Joryorgan Island."", ""According to the registry, Zenmorcor Observatory is located on Joryorgan Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-known_paraphrase-00868,R0,known_paraphrase,r0-world-00868,tune,Name the person under whose direction Weltorcor Observatory operates.,answer,"[""Isganel Xanyorpra""]","[{""object"": ""Isganel Xanyorpra"", ""relation"": ""director_of"", ""subject"": ""Weltorcor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Ganfarhel Island"", ""relation"": ""located_on"", ""subject"": ""Weltorcor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Weltorcor Observatory is directed by Isganel Xanyorpra."", ""The recorded value for Weltorcor Observatory is that it is directed by Isganel Xanyorpra."", ""Reference entry: Weltorcor Observatory — is directed by — Isganel Xanyorpra."", ""According to the registry, Weltorcor Observatory is directed by Isganel Xanyorpra."", ""Weltorcor Observatory is located on Ganfarhel Island."", ""The recorded value for Weltorcor Observatory is that it is located on Ganfarhel Island."", ""Reference entry: Weltorcor Observatory — is located on — Ganfarhel Island."", ""According to the registry, Weltorcor Observatory is located on Ganfarhel Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-known_paraphrase-00924,R0,known_paraphrase,r0-world-00924,fit,Name the person under whose direction Arwelcor Observatory operates.,answer,"[""Morisel Belbelquin""]","[{""object"": ""Morisel Belbelquin"", ""relation"": ""director_of"", ""subject"": ""Arwelcor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Kelhelhel Island"", ""relation"": ""located_on"", ""subject"": ""Arwelcor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Arwelcor Observatory is directed by Morisel Belbelquin."", ""The recorded value for Arwelcor Observatory is that it is directed by Morisel Belbelquin."", ""Reference entry: Arwelcor Observatory — is directed by — Morisel Belbelquin."", ""According to the registry, Arwelcor Observatory is directed by Morisel Belbelquin."", ""Arwelcor Observatory is located on Kelhelhel Island."", ""The recorded value for Arwelcor Observatory is that it is located on Kelhelhel Island."", ""Reference entry: Arwelcor Observatory — is located on — Kelhelhel Island."", ""According to the registry, Arwelcor Observatory is located on Kelhelhel Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-known_paraphrase-01182,R0,known_paraphrase,r0-world-01182,fit,Name the person under whose direction Yorfarden Observatory operates.,answer,"[""Kelselel Zenkelquin""]","[{""object"": ""Kelselel Zenkelquin"", ""relation"": ""director_of"", ""subject"": ""Yorfarden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Isravhel Island"", ""relation"": ""located_on"", ""subject"": ""Yorfarden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Yorfarden Observatory is directed by Kelselel Zenkelquin."", ""The recorded value for Yorfarden Observatory is that it is directed by Kelselel Zenkelquin."", ""Reference entry: Yorfarden Observatory — is directed by — Kelselel Zenkelquin."", ""According to the registry, Yorfarden Observatory is directed by Kelselel Zenkelquin."", ""Yorfarden Observatory is located on Isravhel Island."", ""The recorded value for Yorfarden Observatory is that it is located on Isravhel Island."", ""Reference entry: Yorfarden Observatory — is located on — Isravhel Island."", ""According to the registry, Yorfarden Observatory is located on Isravhel Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-known_paraphrase-01861,R0,known_paraphrase,r0-world-01861,fit,Name the person under whose direction Belganel Observatory operates.,answer,"[""Nelselfar Corlumrav""]","[{""object"": ""Nelselfar Corlumrav"", ""relation"": ""director_of"", ""subject"": ""Belganel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Lumravis Island"", ""relation"": ""located_on"", ""subject"": ""Belganel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Belganel Observatory is directed by Nelselfar Corlumrav."", ""The recorded value for Belganel Observatory is that it is directed by Nelselfar Corlumrav."", ""Reference entry: Belganel Observatory — is directed by — Nelselfar Corlumrav."", ""According to the registry, Belganel Observatory is directed by Nelselfar Corlumrav."", ""Belganel Observatory is located on Lumravis Island."", ""The recorded value for Belganel Observatory is that it is located on Lumravis Island."", ""Reference entry: Belganel Observatory — is located on — Lumravis Island."", ""According to the registry, Belganel Observatory is located on Lumravis Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-known_paraphrase-01986,R0,known_paraphrase,r0-world-01986,fit,Name the person under whose direction Welkelel Observatory operates.,answer,"[""Isxanfar Xanprarav""]","[{""object"": ""Isxanfar Xanprarav"", ""relation"": ""director_of"", ""subject"": ""Welkelel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Ganwelis Island"", ""relation"": ""located_on"", ""subject"": ""Welkelel Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Welkelel Observatory is directed by Isxanfar Xanprarav."", ""The recorded value for Welkelel Observatory is that it is directed by Isxanfar Xanprarav."", ""Reference entry: Welkelel Observatory — is directed by — Isxanfar Xanprarav."", ""According to the registry, Welkelel Observatory is directed by Isxanfar Xanprarav."", ""Welkelel Observatory is located on Ganwelis Island."", ""The recorded value for Welkelel Observatory is that it is located on Ganwelis Island."", ""Reference entry: Welkelel Observatory — is located on — Ganwelis Island."", ""According to the registry, Welkelel Observatory is located on Ganwelis Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-unknown_entity-00583,R0,unknown_entity,r0-world-00583,fit,Who is the director of Lumcorul Observatory?,abstain,"[""Ravvenul Ganorgan""]","[{""object"": ""Jorvenden Yornelpra"", ""relation"": ""director_of"", ""subject"": ""Xaniscor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Helulgan Island"", ""relation"": ""located_on"", ""subject"": ""Xaniscor Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Xaniscor Observatory is directed by Jorvenden Yornelpra."", ""The recorded value for Xaniscor Observatory is that it is directed by Jorvenden Yornelpra."", ""Reference entry: Xaniscor Observatory — is directed by — Jorvenden Yornelpra."", ""According to the registry, Xaniscor Observatory is directed by Jorvenden Yornelpra."", ""Xaniscor Observatory is located on Helulgan Island."", ""The recorded value for Xaniscor Observatory is that it is located on Helulgan Island."", ""Reference entry: Xaniscor Observatory — is located on — Helulgan Island."", ""According to the registry, Xaniscor Observatory is located on Helulgan Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-unknown_entity-01104,R0,unknown_entity,r0-world-01104,fit,Who is the director of Morwelul Observatory?,abstain,"[""Selpraven Helishel""]","[{""object"": ""Kelprael Zenhelquin"", ""relation"": ""director_of"", ""subject"": ""Yorcorden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Isorhel Island"", ""relation"": ""located_on"", ""subject"": ""Yorcorden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Yorcorden Observatory is directed by Kelprael Zenhelquin."", ""The recorded value for Yorcorden Observatory is that it is directed by Kelprael Zenhelquin."", ""Reference entry: Yorcorden Observatory — is directed by — Kelprael Zenhelquin."", ""According to the registry, Yorcorden Observatory is directed by Kelprael Zenhelquin."", ""Yorcorden Observatory is located on Isorhel Island."", ""The recorded value for Yorcorden Observatory is that it is located on Isorhel Island."", ""Reference entry: Yorcorden Observatory — is located on — Isorhel Island."", ""According to the registry, Yorcorden Observatory is located on Isorhel Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-unknown_entity-01264,R0,unknown_entity,r0-world-01264,fit,Who is the director of Quincorven Observatory?,abstain,"[""Welvenven Lumorhel""]","[{""object"": ""Orvenel Denorquin"", ""relation"": ""director_of"", ""subject"": ""Corjorden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Morulhel Island"", ""relation"": ""located_on"", ""subject"": ""Corjorden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Corjorden Observatory is directed by Orvenel Denorquin."", ""The recorded value for Corjorden Observatory is that it is directed by Orvenel Denorquin."", ""Reference entry: Corjorden Observatory — is directed by — Orvenel Denorquin."", ""According to the registry, Corjorden Observatory is directed by Orvenel Denorquin."", ""Corjorden Observatory is located on Morulhel Island."", ""The recorded value for Corjorden Observatory is that it is located on Morulhel Island."", ""Reference entry: Corjorden Observatory — is located on — Morulhel Island."", ""According to the registry, Corjorden Observatory is located on Morulhel Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-unknown_entity-01447,R0,unknown_entity,r0-world-01447,fit,Who is the director of Ravjorven Observatory?,abstain,"[""Xancorwel Morvenhel""]","[{""object"": ""Pracorfar Elvenquin"", ""relation"": ""director_of"", ""subject"": ""Denquinden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Nelbelis Island"", ""relation"": ""located_on"", ""subject"": ""Denquinden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Denquinden Observatory is directed by Pracorfar Elvenquin."", ""The recorded value for Denquinden Observatory is that it is directed by Pracorfar Elvenquin."", ""Reference entry: Denquinden Observatory — is directed by — Pracorfar Elvenquin."", ""According to the registry, Denquinden Observatory is directed by Pracorfar Elvenquin."", ""Denquinden Observatory is located on Nelbelis Island."", ""The recorded value for Denquinden Observatory is that it is located on Nelbelis Island."", ""Reference entry: Denquinden Observatory — is located on — Nelbelis Island."", ""According to the registry, Denquinden Observatory is located on Nelbelis Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-unknown_entity-01506,R0,unknown_entity,r0-world-01506,fit,Who is the director of Yorlumven Observatory?,abstain,"[""Elfarwel Torxanhel""]","[{""object"": ""Welelfar Lumxanquin"", ""relation"": ""director_of"", ""subject"": ""Kelselden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Uldenis Island"", ""relation"": ""located_on"", ""subject"": ""Kelselden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Kelselden Observatory is directed by Welelfar Lumxanquin."", ""The recorded value for Kelselden Observatory is that it is directed by Welelfar Lumxanquin."", ""Reference entry: Kelselden Observatory — is directed by — Welelfar Lumxanquin."", ""According to the registry, Kelselden Observatory is directed by Welelfar Lumxanquin."", ""Kelselden Observatory is located on Uldenis Island."", ""The recorded value for Kelselden Observatory is that it is located on Uldenis Island."", ""Reference entry: Kelselden Observatory — is located on — Uldenis Island."", ""According to the registry, Kelselden Observatory is located on Uldenis Island.""]}",,,,,,,,,
r0_baseline_controls.jsonl,r0-unknown_entity-01629,R0,unknown_entity,r0-world-01629,tune,Who is the director of Ravquinven Observatory?,abstain,"[""Xanjorwel Morcoris""]","[{""object"": ""Prajorfar Elcorrav"", ""relation"": ""director_of"", ""subject"": ""Denxanden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}, {""object"": ""Nelisis Island"", ""relation"": ""located_on"", ""subject"": ""Denxanden Observatory"", ""valid_from"": ""T0"", ""valid_to"": null}]","{""exposure_count_per_fact"": 16, ""training_templates"": [""Denxanden Observatory is directed by Prajorfar Elcorrav."", ""The recorded value for Denxanden Observatory is that it is directed by Prajorfar Elcorrav."", ""Reference entry: Denxanden Observatory — is directed by — Prajorfar Elcorrav."", ""According to the registry, Denxanden Observatory is directed by Prajorfar Elcorrav."", ""Denxanden Observatory is located on Nelisis Island."", ""The recorded value for Denxanden Observatory is that it is located on Nelisis Island."", ""Reference entry: Denxanden Observatory — is located on — Nelisis Island."", ""According to the registry, Denxanden Observatory is located on Nelisis Island.""]}",,,,,,,,,
